permno,ticker,cik,business_name
12523,GNT,1438893,"Gabelli Natural Resources, Gold & Income Trust"
12527,IBIO,1420720,"Inb:Biotechnologies, Inc."
12528,MCC,1490349,Medley Capital Corp
12544,CDM,1423242,"China Century Dragon Media, Inc."
12556,GPL,1300050,Great Panther Silver Ltd
12557,EMG,1494448,"Imperial Holdings, Llc"
12559,NPTN,1227025,Multiple Result Found
12569,WRN,1364125,Western Copper & Gold Corp
12572,ZA,1501176,Zuoan Fashion Ltd
12573,ACRX,1427925,Acelrx Pharmaceuticals Inc
12574,BGMD,1407038,"Bg Medicine, Inc."
12576,EPOC,1096738,Epocrates Inc
12579,GEVO,1392380,Gevo Inc
12580,KIPS,1460198,"Kips Bay Medical, Inc."
12581,MODL,1441567,Mmodal Inc.
12582,PCOM,1204413,Points International Ltd
12584,SUNS,1508171,Solar Senior Capital Ltd.
12586,TBOW,1485933,Trunkbow International Holdings Ltd
12592,XTNT,1453593,"Xtant Medical Holdings, Inc."
12615,FF,1337298,Futurefuel Corp.
12629,MX,1325702,Multiple Result Found
12637,EOX,1283843,Wpt Enterprises Inc
12663,LON,1472619,Loncor Resources Inc.
12667,GNMX,1138776,"Aevi Genomic Medicine, Inc."
12668,APTS,1481832,Preferred Apartment Communities Inc
12680,SQNS,1383395,Sequans Communications
12682,TMS,1491501,Tms International Corp.
12687,TEU,1504795,Box Ships Inc.
12688,FRNK,1505823,Franklin Financial Corp
12690,GSVC,1509470,Gsv Capital Corp.
12692,MNEL,1463471,Mission Newenergy Ltd
12693,PFLT,1504619,Pennantpark Senior Floating Rate Fund Inc.
12698,OCRX,1338321,Ocera Therapeutics Inc
12751,FENG,1509646,Phoenix New Media Ltd
12755,QRM,1514341,Quest Rare Minerals Ltd.
12759,RENN,1509223,Renren Inc.
12760,RVM,1404592,"Revett Mining Company, Inc."
12783,THR,1489096,"Thermon Group Holdings, Inc."
12784,TTTM,1434589,"T3 Motion, Inc."
12789,AMPE,1411906,"Ampio Pharmaceuticals, Inc."
12791,DATE,1511683,Jiayuan.Com International Ltd
12793,FFN,1451951,Friendfinder Networks Inc.
12794,PACQ,1485922,Prime Acquisition Corp
12828,MITT,1514281,"Ag Mortgage Investment Trust, Inc."
12840,LODE,1120970,Comstock Mining Inc.
12871,CCLP,1449488,Csi Compressco Lp
12877,HCHC,1006837,Primus Telecommunications Group Inc
12878,TAOM,1507051,Taomee Holdings Ltd
12881,ATNY,1081078,Api Technologies Corp.
12883,CRMB,1476719,"Crumbs Bake Shop, Inc."
12884,FBNK,1511198,"First Connecticut Bancorp, Inc."
12885,FDUS,1513363,Fidus Investment Corp
12887,KIOR,1418862,Kior Inc
12890,THER,1512717,Theratechnologies Inc.
12892,AMID,1513965,"American Midstream Partners, Lp"
12893,AMTG,1515980,"Apollo Residential Mortgage, Inc."
12903,SARA,1096339,Multiple Result Found
12912,BLRX,1498403,Multiple Result Found
12916,HCOM,1487986,"Hawaiian Telcom Holdco, Inc."
12920,IROQ,1514743,"If Bancorp, Inc."
12921,SIBC,1513971,"State Investors Bancorp, Inc."
12922,SKUL,1423542,Skullcandy Inc
12924,TNGO,1182325,Tangoe Inc
12952,LSG,1279944,Lake Shore Gold Corp
12959,AMBT,1047919,Multiple Result Found
12961,PME,1517130,Pingtan Marine Enterprise Ltd.
12962,CSRE,1368358,Csr Plc
12963,FES,1434842,Forbes Energy Services Ltd.
12964,MNGL,1517526,Blue Wolf Mongolia Holdings Corp.
12966,NMAR,1507154,Nautilus Marine Acquisition Corp
12970,TUDO,1499599,Tudou Holdings Ltd
12971,JTPY,1507986,Jetpay Corp
13006,FMNB,709337,Farmers National Banc Corp /Oh/
13007,LCNB,1074902,Lcnb Corp
18149,ALYA,1734520,Multiple Result Found
13015,STB,1419465,Student Transportation Inc.
13019,GNE,1528356,Genie Energy Ltd.
13036,ASBB,1520300,Asb Bancorp Inc
13037,BLMT,1522420,"Bsb Bancorp, Inc."
13038,BUR,1158399,Burcon Nutrascience Corp
13041,LMOS,1520744,Lumos Networks Corp.
13056,AM,5133,Multiple Result Found
13076,BUI,1528988,Blackrock Utility & Infrastructure Trust
13078,DDMG,1490930,"Digital Domain Media Group, Inc."
13083,LRE,1519632,"Lrr Energy, L.P."
13084,MN,1524223,"Manning & Napier, Inc."
13097,ALO,1502154,Alio Gold Inc.
13109,IMI,1311241,Intermolecular Inc
13113,LLEX,1437557,"Lilis Energy, Inc."
13115,OSH,75043,Oshmans Sporting Goods Inc
13121,TEUM,1084384,Pareteum Corp
13140,TAS,1474547,Tasman Metals Ltd.
13159,FBIO,1429260,"Fortress Biotech, Inc."
13161,XRDC,1444706,Keating Capital Inc
13162,MCEP,1527709,"Mid-Con Energy Partners, Lp"
13172,BOXC,1537063,Brookfield Office Properties Canada
13177,ETUA,1476721,Eunits (Tm) 2 Year U.S. Equity Market Participatio
13180,EMX,1285786,Emx Royalty Corp
13196,RLGT,1350146,Radiant Logistics Inc
13198,BOTJ,1275101,Bank Of The James Financial Group Inc
13202,VSTM,1526119,"Verastem, Inc."
13203,WEBK,1526952,"Wellesley Bancorp, Inc."
13206,CPAC,1221029,Cementos Pacasmayo Saa
13222,FX,1529979,Fx Alliance Inc.
13225,GSE,1275712,"Gse Holding, Inc."
13227,GWAY,1080747,Greenway Medical Technologies Inc
13250,RNDY,314423,Roundys Inc
13260,BCOV,1313275,Brightcove Inc
13262,CCXI,1135796,Chemocentryx Inc
13264,CERE,767884,Ceres Inc
13265,CUI,1108967,"Cui Global, Inc."
13276,HKAC,1416995,"Hicks Acquisition Co Ii, Inc."
13278,HMST,1518715,"Homestreet, Inc."
13279,CHFS,1506492,"Sunshine Heart, Inc."
13280,SYNC,1210634,Synacor Inc
13281,AXX,1484457,Alderon Iron Ore Corp.
13285,BNNY,1431897,Annies Inc
18043,AMAL,919192,Multiple Result Found
13302,RM,1519401,Regional Management Corp.
13303,NL,72162,Nl Industries Inc
13323,ENPH,1463101,"Enphase Energy, Inc."
13324,GALT,1133416,Galectin Therapeutics Inc
13328,HEAR,1493761,Turtle Beach Corp
13329,PRSS,1117733,Cafepress Inc.
13330,SAEX,1514732,"Saexploration Holdings, Inc."
13331,AQ,1527635,Acquity Group Ltd
13332,ACRE,1529377,Ares Commercial Real Estate Corp
13336,EDG,1537951,Edgen Group Inc.
13340,GIG,1432150,"Gigpeak, Inc."
13350,TMQ,1543418,Multiple Result Found
13366,SPLP,1452857,Webfinancial L.P.
13369,CLIR,1434524,Clearsign Combustion Corp
13372,DCIN,1510326,Digital Cinema Destinations Corp.
13373,EAC,1490165,Erickson Inc.
13374,ENVI,1174266,Envivio Inc
13376,IMMP,1506184,Immutep Ltd
13378,EVRY,1532543,"Everyware Global, Inc."
13383,ETUB,1541133,Eunits(Tm) 2 Year U.S. Market Participation Trust
13385,IMUC,822411,"Immunocellular Therapeutics, Ltd."
13399,TLYS,1524025,"Tilly'S, Inc."
13401,WMC,1465885,Western Asset Mortgage Capital Corp
13402,ADNC,1201663,Audience Inc
13403,TGLS,1534675,Tecnoglass Inc.
